Input Size,Avg Case Comparisons,Best Case Comparisons
200, 1278.000000, 812.000000
300, 2102.000000, 1308.000000
400, 2959.000000, 1824.000000
500, 3857.000000, 2272.000000
600, 4803.000000, 2916.000000
